hexid	date	distToFront	geometry
5085	2021-07-04	0	c(592026.736261952, 575503.359424427, 3810805.91260113, 3799077.6072955)
5146	2021-07-04	0	c(608779.0960568, 592026.736261952, 3799405.71084065, 3810805.91260113)
5085	2021-07-04	0	c(575127.152449276, 591797.171975151, 3845394.19934138, 3833964.62700578)
5086	2021-07-04	0	c(591334.380880427, 574937.547731306, 3880284.368914, 3868553.66330621)
5146	2021-07-04	0	c(591797.171975151, 608237.03317891, 3833964.62700578, 3845724.14361885)
5086	2021-07-04	0	c(574555.348006892, 591101.160016725, 3914874.93786421, 3903445.40067174)
5088	2021-07-04	0	c(573385.004472449, 589676.470235841, 4053857.68110801, 4042427.97003847)
5090	2021-07-04	0	c(588456.350946746, 572585.189682114, 4158268.43317495, 4146528.76157701)
5060	2021-07-04	0	c(571975.162766247, 572179.468035795, 4216040.5083251, 4192869.11937795)
5090	2021-07-04	0	c(572179.468035795, 588208.777897691, 4192869.11937795, 4181438.90915078)
5206	2021-07-04	0	c(626189.406897148, 625881.912078278, 3741718.90855569, 3764876.47332802)
5086	2021-07-04	0	c(591101.160016725, 591334.380880427, 3903445.40067174, 3880284.368914)
5118	2021-07-04	0	c(606576.381459098, 590394.232170888, 3984697.7921148, 3972933.16382773)
5088	2021-07-04	0	c(589676.470235841, 589916.922898097, 4042427.97003847, 4019262.248904)
5118	2021-07-04	0	c(589916.922898097, 606294.617623724, 4019262.248904, 4007862.76403535)
5090	2021-07-04	0	c(588208.777897691, 588456.350946746, 4181438.90915078, 4158268.43317495)
5206	2021-07-04	0	c(643104.212889081, 626189.406897148, 3730376.45300486, 3741718.90855569)
5146	2021-07-04	0	c(625261.901462506, 608779.0960568, 3811193.83459096, 3799405.71084065)
5206	2021-07-04	0	c(625881.912078278, 642407.582959384, 3764876.47332802, 3776692.99432716)
5237	2021-07-04	0	c(642407.582959384, 642056.423398071, 3776692.99432716, 3799852.36141208)
5146	2021-07-04	0	c(608237.03317891, 624949.393630224, 3845724.14361885, 3834353.63545899)
5118	2021-07-04	0	c(606294.617623724, 606576.381459098, 4007862.76403535, 3984697.7921148)
5146	2021-07-04	0	c(624949.393630224, 625261.901462506, 3834353.63545899, 3811193.83459096)
5237	2021-07-04	0	c(642056.423398071, 658498.881164722, 3799852.36141208, 3811700.49792156)
5206	2021-07-04	0	c(659672.675651292, 643104.212889081, 3742221.15538538, 3730376.45300486)
5206	2021-07-04	0	c(659283.528447763, 659672.675651292, 3765380.21908089, 3742221.15538538)
5237	2021-07-04	0	c(675769.328830267, 659283.528447763, 3777256.61801983, 3765380.21908089)
5237	2021-07-04	0	c(658498.881164722, 675335.827606712, 3811700.49792156, 3800417.61456154)
5237	2021-07-04	0	c(675335.827606712, 675769.328830267, 3800417.61456154, 3777256.61801983)
