hexid,population,infections,geometry,date,infectionsPC
31,758329.1999113209,335.34678899366384,"list(c(-2284834.83740088, -2302654.56377516, -2302654.56377516, -2284834.83740088, -2267015.11102659, -2267015.1110266, -2284834.83740088, 1915689.36961483, 1925977.59343391, 1946554.04107207, 1956842.26489114, 1946554.04107207, 1925977.59343391, 1915689.36961483))",2020-09-17,4.42217956308262e-4
32,189882.0331282075,89.03397709476509,"list(c(-2284834.83740088, -2302654.56377516, -2302654.56377516, -2284834.83740088, -2267015.1110266, -2267015.1110266, -2284834.83740088, 1977418.7125293, 1987706.93634838, 2008283.38398653, 2018571.6078056, 2008283.38398653, 1987706.93634837, 1977418.7125293))",2020-09-17,4.688910036825325e-4
33,65623.1883515083,46.155183976479904,"list(c(-2284834.83740088, -2302654.56377516, -2302654.56377516, -2284834.83740088, -2267015.1110266, -2267015.1110266, -2284834.83740088, 2039148.05544376, 2049436.27926284, 2070012.726901, 2080300.95072007, 2070012.726901, 2049436.27926284, 2039148.05544376))",2020-09-17,7.033365055237988e-4
34,48436.49335474248,20.900703021748548,"list(c(-2284834.83740088, -2302654.56377516, -2302654.56377516, -2284834.83740088, -2267015.1110266, -2267015.1110266, -2284834.83740088, 2100877.39835823, 2111165.62217731, 2131742.06981546, 2142030.29363454, 2131742.06981546, 2111165.6221773, 2100877.39835823))",2020-09-17,4.315073527035609e-4
35,2641.3721302929057,0.5698857477238285,"list(c(-2284834.83740088, -2302654.56377516, -2302654.56377516, -2284834.83740088, -2267015.1110266, -2267015.1110266, -2284834.83740088, 2162606.7412727, 2172894.96509177, 2193471.41272993, 2203759.636549, 2193471.41272992, 2172894.96509177, 2162606.7412727))",2020-09-17,2.1575367635178047e-4
36,971.1742787458538,0.03776773710870498,"list(c(-2284834.83740088, -2302654.56377516, -2302654.56377516, -2284834.83740088, -2267015.1110266, -2267015.1110266, -2284834.83740088, 2224336.08418716, 2234624.30800623, 2255200.75564439, 2265488.97946347, 2255200.75564439, 2234624.30800624, 2224336.08418716))",2020-09-17,3.888873288270889e-5
37,1232.5395526513853,0.04793190143043323,"list(c(-2284834.83740088, -2302654.56377516, -2302654.56377516, -2284834.83740088, -2267015.1110266, -2267015.1110266, -2284834.83740088, 2286065.42710162, 2296353.6509207, 2316930.09855886, 2327218.32237793, 2316930.09855885, 2296353.6509207, 2286065.42710162))",2020-09-17,3.888873288270889e-5
38,694.8306161808956,0.123438685094966,"list(c(-2284834.83740088, -2302654.56377516, -2302654.56377516, -2284834.83740088, -2267015.1110266, -2267015.1110266, -2284834.83740088, 2347794.77001609, 2358082.99383517, 2378659.44147332, 2388947.6652924, 2378659.44147332, 2358082.99383516, 2347794.77001609))",2020-09-17,1.77652916006265e-4
39,27050.263516070067,2.402779096183865,"list(c(-2284834.83740088, -2302654.56377516, -2302654.56377516, -2284834.83740088, -2267015.1110266, -2267015.1110266, -2284834.83740088, 2409524.11293055, 2419812.33674962, 2440388.78438778, 2450677.00820686, 2440388.78438778, 2419812.33674963, 2409524.11293055))",2020-09-17,8.88264580031325e-5
40,4784.339943265193,0.25787726220628315,"list(c(-2284834.83740088, -2302654.56377516, -2302654.56377516, -2284834.83740088, -2267015.1110266, -2267015.1110266, -2284834.83740088, 2471253.45584502, 2481541.67966409, 2502118.12730225, 2512406.35112133, 2502118.12730224, 2481541.67966409, 2471253.45584502))",2020-09-17,5.390027992665762e-5
41,3198.012178802564,0.34474750329263687,"list(c(-2284834.83740088, -2302654.56377516, -2302654.56377516, -2284834.83740088, -2267015.1110266, -2267015.1110266, -2284834.83740088, 2532982.79875948, 2543271.02257856, 2563847.47021671, 2574135.69403579, 2563847.47021671, 2543271.02257856, 2532982.79875948))",2020-09-17,1.0780055985331524e-4
42,27.263554530631215,0.00629482371438792,"list(c(-2267015.1110266, -2284834.83740088, -2284834.83740088, -2267015.1110266, -2249195.38465232, -2249195.38465232, -2267015.1110266, 1699636.66941421, 1709924.89323329, 1730501.34087144, 1740789.56469052, 1730501.34087144, 1709924.89323329, 1699636.66941421))",2020-09-17,2.3088785826938125e-4
43,1954.459266810185,0.4512609141885488,"list(c(-2267015.1110266, -2284834.83740088, -2284834.83740088, -2267015.11102659, -2249195.38465232, -2249195.38465232, -2267015.1110266, 1761366.01232868, 1771654.23614775, 1792230.68378591, 1802518.90760498, 1792230.68378591, 1771654.23614775, 1761366.01232868))",2020-09-17,2.3088785826938125e-4
44,116387.05947500032,53.744717784907834,"list(c(-2267015.1110266, -2284834.83740088, -2284834.83740088, -2267015.1110266, -2249195.38465232, -2249195.38465232, -2267015.1110266, 1823095.35524314, 1833383.57906222, 1853960.02670037, 1864248.25051945, 1853960.02670037, 1833383.57906222, 1823095.35524314))",2020-09-17,4.617757165387625e-4
45,789685.4525484721,1343.3222337442178,"list(c(-2267015.1110266, -2284834.83740088, -2284834.83740088, -2267015.1110266, -2249195.38465232, -2249195.38465231, -2267015.1110266, 1884824.6981576, 1895112.92197668, 1915689.36961483, 1925977.59343391, 1915689.36961483, 1895112.92197668, 1884824.6981576))",2020-09-17,0.00170108519716179
46,1418877.732248733,730.9334187160156,"list(c(-2267015.11102659, -2284834.83740088, -2284834.83740088, -2267015.1110266, -2249195.38465231, -2249195.38465231, -2267015.11102659, 1946554.04107207, 1956842.26489114, 1977418.7125293, 1987706.93634837, 1977418.7125293, 1956842.26489115, 1946554.04107207))",2020-09-17,5.151489815528946e-4
