GEOID,population
15000US010499608002,1019
15000US010499608003,2930
15000US010499609001,1116
15000US010499609002,718
15000US010499609003,931
15000US010499609004,987
15000US010499610001,836
15000US010499610002,1862
15000US010499610003,1524
15000US010499611001,781
15000US010499611002,962
15000US010499611003,1228
15000US010499612001,1207
15000US010499612002,1179
15000US010499613001,1702
15000US010499613002,886
15000US010499613003,1558
15000US010499613004,951
15000US010499613005,973
15000US010499614001,1116
15000US010499614002,1840
15000US010499614003,1002
15000US010510301001,2208
15000US010510301002,1338
15000US010510301003,1273
15000US010510301004,4410
15000US010510302001,786
15000US010510302002,1295
15000US010510302003,1110
15000US010510302004,1225
15000US010510303001,1446
15000US010510303002,1154
15000US010510304001,1394
15000US010510304002,1572
15000US010510304003,1497
15000US010510304004,589
15000US010510304005,725
15000US010510304006,1229
15000US010510305001,1348
15000US010510305002,1881
15000US010510305003,1449
15000US010510306001,1789
15000US010510306002,1829
15000US010510306003,993
15000US010510306004,1709
15000US010510307011,1735
15000US010510307012,5707
15000US010510307021,2857
15000US010510307022,1421
15000US010510308001,1285
15000US010510308002,2131
15000US010510308003,2608
15000US010510308004,1057
15000US010510309011,4095
15000US010510309012,2169
15000US010510309021,1216
15000US010510309022,1174
15000US010510309023,1664
15000US010510310001,3909
15000US010510310002,3649
15000US010510311001,964
15000US010510311002,2302
15000US010510311003,836
15000US010510312001,737
15000US010510312002,963
15000US010510313001,2322
15000US010510313002,1075
15000US010510313003,1087
15000US010539698001,1022
15000US010539698002,921
15000US010539698003,1388
15000US010539698004,1142
15000US010539698005,1198
15000US010539699001,1567
15000US010539699002,792
15000US010539699003,1454
15000US010539701001,1141
15000US010539701002,1905
15000US010539701003,1381
15000US010539702001,727
15000US010539702002,1122
15000US010539703001,2477
15000US010539703002,1301
15000US010539704001,780
15000US010539704002,2534
15000US010539704003,2388
15000US010539705001,733
15000US010539705002,1095
15000US010539705003,589
15000US010539705004,1768
15000US010539706001,1749
15000US010539706002,818
15000US010539706003,474
15000US010539706004,952
15000US010539707001,1470
15000US010539707002,811
15000US010539707003,733
15000US010539707004,896
15000US010550002001,965
15000US010550002002,1334
15000US010550002003,1403
15000US010550003001,1083
15000US010550003002,659
15000US010550003003,891
15000US010550004001,775
15000US010550004002,870
15000US010550004003,972
15000US010550004004,716
15000US010550004005,653
15000US010550005001,392
15000US010550005002,1393
15000US010550006001,691
15000US010550006002,841
15000US010550006003,448
15000US010550007001,563
15000US010550007002,593
15000US010550008001,543
15000US010550008002,668
15000US010550009001,154
15000US010550009002,795
15000US010550009003,635
15000US010550009004,960
15000US010550010001,1329
15000US010550011001,3087
15000US010550011002,832
15000US010550011003,1403
15000US010550012001,698
15000US010550012002,1367
15000US010550012003,821
15000US010550013001,403
15000US010550013002,1258
15000US010550013003,1146
15000US010550016001,1828
15000US010550016002,555
15000US010550016003,917
15000US010550017001,650
15000US010550017002,1081
15000US010550101001,1314
15000US010550101002,913
15000US010550102001,1718
15000US010550102002,434
15000US010550102003,1118
15000US010550102004,864
15000US010550102005,910
15000US010550103001,917
15000US010550103002,595
15000US010550103003,1108
15000US010550104011,759
15000US010550104012,2083
15000US010550104013,998
15000US010550104021,2100
15000US010550104022,2913
15000US010550105011,1766
15000US010550105012,2281
15000US010550105013,2262
15000US010550105014,2100
15000US010550105021,1698
15000US010550105022,999
15000US010550105023,2419
15000US010550106011,1905
15000US010550106012,1040
15000US010550106013,2290
15000US010550106021,2103
15000US010550106022,1288
15000US010550107001,2131
15000US010550107002,1619
15000US010550108001,896
15000US010550108002,1951
15000US010550109001,1682
15000US010550110011,1420
15000US010550110012,1789
15000US010550110013,1835
15000US010550110021,1753
15000US010550110022,1547
15000US010550110023,1062
15000US010550111001,2644
15000US010550111002,1458
15000US010550111003,1544
15000US010550112001,1292
15000US010550112002,388
15000US010550112003,661
15000US010570200001,596
15000US010570200002,877
15000US010570201001,1172
15000US010570201002,1408
15000US010570201003,707
15000US010570202001,1285
15000US010570202002,764
15000US010570202003,1699
15000US010570202004,480
15000US010570203001,944
15000US010570203002,823
15000US010570203003,478
15000US010570203004,608
15000US010570203005,1000
15000US010570204001,873
15000US010570204002,1106
15000US010570204003,1038
15000US010570204004,727
15000US010599729001,656
15000US010599729002,452
15000US010599729003,2722
15000US010599730001,1701
15000US010599730002,994
15000US010599730003,1152
15000US010599730004,1609
15000US010599731001,1116
15000US010599731002,1321
15000US010599732001,1501
15000US010599732002,794
15000US010599732003,1522
15000US010599733001,1896
15000US010599733002,1126
15000US010599734001,887
15000US010599734002,1153
15000US010599734003,831
15000US010599735001,939
15000US010599735002,799
15000US010599735003,607
15000US010599736001,651
15000US010599736002,878
15000US010599737001,1790
15000US010599737002,1792
15000US010599737003,1530
15000US010599737004,1123
15000US010610501001,1569
15000US010610501002,929
15000US010610501003,1389
15000US010610501004,789
15000US010610502001,1408
15000US010610502002,1057
15000US010610503001,1073
15000US010610503002,1383
15000US010610503003,885
15000US010610503004,649
15000US010610503005,806
15000US010610503006,698
15000US010610504001,1544
15000US010610504002,1320
15000US010610504003,642
15000US010610504004,1001
15000US010610504005,1021
15000US010610505001,955
15000US010610505002,1362
15000US010610505003,1282
15000US010610505004,1021
15000US010610506001,1369
15000US010610506002,822
15000US010610506003,1517
15000US010630600001,966
15000US010630600002,848
15000US010630601001,361
15000US010630601002,699
15000US010630601003,631
15000US010630601004,1135
15000US010630601005,768
15000US010630602001,1271
15000US010630602002,1089
15000US010630602003,658
15000US010650400001,1553
15000US010650400002,1928
15000US010650401001,1448
15000US010650402001,1584
15000US010650403001,801
15000US010650403002,1244
15000US010650404001,796
15000US010650404002,775
15000US010650404003,1260
15000US010650404004,1366
15000US010650404005,759
15000US010650405001,815
15000US010650405002,558
15000US010670301001,897
15000US010670301002,704
15000US010670302001,1259
15000US010670302002,1069
15000US010670302003,584
15000US010670303001,699
15000US010670303002,1108
15000US010670303003,810
15000US010670304001,1301
15000US010670304002,569
15000US010670305001,1935
15000US010670305002,1214
15000US010670305003,2586
15000US010670305004,800
15000US010670306001,574
15000US010670306002,1015
15000US010690401001,2380
15000US010690401002,1551
15000US010690401003,1688
15000US010690402011,4223
15000US010690402012,1720
15000US010690402013,3801
15000US010690402021,2658
15000US010690402022,2450
15000US010690402023,1804
15000US010690402024,1768
15000US010690403011,1812
15000US010690403012,1281
15000US010690403013,760
15000US010690403021,1700
15000US010690403022,2006
15000US010690404001,983
15000US010690404002,742
15000US010690404003,791
15000US010690405001,1004
15000US010690405002,965
15000US010690405003,1589
15000US010690406001,656
15000US010690406002,759
15000US010690406003,606
15000US010690407001,1298
15000US010690407002,1661
15000US010690408001,2597
15000US010690408002,1684
15000US010690408003,1778
15000US010690408004,2629
15000US010690409001,1760
15000US010690409002,3381
15000US010690410001,2394
15000US010690410002,1415
15000US010690410003,1495
15000US010690411001,1473
15000US010690411002,1149
15000US010690411003,988
15000US010690412001,1054
15000US010690412002,1124
15000US010690414001,1151
15000US010690414002,1351
15000US010690414003,904
15000US010690415001,915
15000US010690415002,701
15000US010690415003,940
15000US010690415004,714
15000US010690415005,760
15000US010690416001,1794
15000US010690416002,1345
15000US010690416003,1536
15000US010690416004,545
15000US010690417001,652
15000US010690417002,536
15000US010690418001,985
15000US010690418002,972
15000US010690419001,1661
15000US010690419002,1422
15000US010690419003,1729
15000US010690419004,1009
15000US010690419005,1103
15000US010690419006,818
15000US010690420001,1713
15000US010690420002,903
15000US010690420003,815
15000US010690420004,2269
15000US010690421001,1595
15000US010690421002,3145
15000US010690421003,1967
15000US010690421004,825
15000US010719501001,2060
15000US010719501002,1606
15000US010719501003,895
15000US010719501004,656
15000US010719501005,1185
15000US010719502001,1002
15000US010719502002,1158
15000US010719502003,327
15000US010719502004,732
15000US010719503001,1370
15000US010719503002,1003
15000US010719503003,1229
15000US010719503004,881
15000US010719503005,1238
15000US010719504001,496
15000US010719504002,528
15000US010719504003,1105
15000US010719505001,1308
15000US010719505002,2052
15000US010719506001,1977
15000US010719506002,1595
15000US010719506003,1572
15000US010719506004,617
15000US010719507001,1160
15000US010719507002,972
15000US010719507003,530
15000US010719507004,1823
15000US010719508001,799
15000US010719508002,484
15000US010719508003,1173
15000US010719508004,1481
15000US010719509001,1008
15000US010719509002,611
15000US010719509003,2101
15000US010719509004,1992
15000US010719510001,915
15000US010719510002,1405
15000US010719510003,759
15000US010719510004,1392
15000US010719511001,1433
15000US010719511002,1167
15000US010719511003,1202
15000US010719511004,2353
15000US010719511005,742
15000US010730001001,754
15000US010730001002,670
15000US010730001003,400
15000US010730001004,669
15000US010730001005,843
15000US010730003001,703
15000US010730003002,740
15000US010730003003,490
15000US010730004001,607
15000US010730004002,887
15000US010730004003,915
15000US010730004004,333
15000US010730004005,669
15000US010730005001,849
15000US010730005002,1034
15000US010730005003,440
15000US010730005004,654
15000US010730007001,388
15000US010730007002,1718
15000US010730007003,638
15000US010730008001,914
15000US010730008002,494
15000US010730008003,803
15000US010730008004,388
15000US010730008005,498
15000US010730011001,495
15000US010730011002,861
15000US010730011003,1115
15000US010730011004,1028
15000US010730011005,1136
15000US010730011006,262
15000US010730012001,646
15000US010730012002,725
15000US010730012003,288
15000US010730012004,960
15000US010730014001,467
15000US010730014002,738
15000US010730014003,701
15000US010730015001,690
15000US010730015002,815
15000US010730015003,645
15000US010730015004,576
15000US010730016001,881
15000US010730016002,679
15000US010730016003,315
15000US010730016004,1333
15000US010730019021,708
15000US010730019022,512
15000US010730019023,733
15000US010730020001,1334
15000US010730020002,1717
15000US010730020003,1164
15000US010730021001,1270
15000US010730021002,651
15000US010730021003,501
15000US010730022001,1458
15000US010730022002,1121
15000US010730023031,1209
15000US010730023032,1005
15000US010730023033,454
15000US010730023034,852
15000US010730023051,1924
15000US010730023052,1149
15000US010730023061,739
15000US010730023062,1905
15000US010730023063,1140
15000US010730024001,1302
15000US010730024002,547
15000US010730024003,603
15000US010730024004,521
15000US010730024005,536
15000US010730024006,519
15000US010730027001,2551
15000US010730027002,572
15000US010730027003,441
15000US010730029001,914
15000US010730029002,905
15000US010730029003,141
15000US010730030011,1677
15000US010730030012,787
15000US010730030013,665
15000US010730030014,569
15000US010730030021,653
15000US010730030022,351
15000US010730030023,1612
15000US010730031001,315
15000US010730031002,533
15000US010730031003,1820
15000US010730031004,621
15000US010730031005,764
15000US010730032001,573
15000US010730032002,677
15000US010730033001,572
15000US010730033002,397
15000US010730034001,277
15000US010730034002,653
15000US010730034003,597
15000US010730034004,585
15000US010730035001,636
15000US010730035002,495
15000US010730035003,899
15000US010730036001,642
15000US010730036002,692
15000US010730036003,728
15000US010730036004,1537
15000US010730036005,340
15000US010730036006,598
15000US010730037001,1228
15000US010730037002,888
15000US010730037003,1048
15000US010730037004,1281
15000US010730038021,1156
15000US010730038022,1669
15000US010730038023,1387
15000US010730038024,937
15000US010730038031,1031
15000US010730038032,1000
15000US010730038033,887
15000US010730038034,727
15000US010730039001,1357
15000US010730040001,768
15000US010730040002,541
15000US010730040003,351
15000US010730040004,605
15000US010730040005,356
15000US010730042001,580
15000US010730042002,605
15000US010730042003,687
15000US010730045001,3851
15000US010730045002,1195
15000US010730047011,646
