hexid	date	distToFront	geometry
4020	2020-09-25	0	c(93890.276178132, 108435.270499784, 5203453.61684927, 5214131.97751191)
3912	2020-09-25	0	c(97556.7446026418, 95869.2135361821, 5448007.38834126, 5424807.08665379)
3940	2020-09-25	0	c(66364.4973130879, 64888.9842491106, 4785870.72484793, 4762672.78509749)
3977	2020-09-25	0	c(81800.3884075245, 66364.4973130879, 4796547.36297325, 4785870.72484793)
3947	2020-09-25	0	c(98651.2656811493, 97058.9035801986, 5273054.45933591, 5249854.0610598)
3984	2020-09-25	0	c(113041.649783123, 98651.2656811493, 5283734.6521538, 5273054.45933591)
3948	2020-09-25	0	c(103460.29216036, 101851.981179175, 5342656.35872202, 5319455.60818545)
3984	2020-09-25	0	c(101851.981179175, 114587.433745456, 5319455.60818545, 5306935.87633135)
3985	2020-09-25	0	c(117694.365282243, 103460.29216036, 5353338.82331154, 5342656.35872202)
3985	2020-09-25	0	c(106692.71401462, 119255.471718562, 5389058.21187879, 5376540.54597604)
3977	2020-09-25	0	c(83233.864349728, 81800.3884075245, 4819745.09721004, 4796547.36297325)
4015	2020-09-25	0	c(98572.3593178733, 83233.864349728, 4830453.14906185, 4819745.09721004)
4020	2020-09-25	0	c(108435.270499784, 121454.156647474, 5214131.97751191, 5201641.72334745)
3984	2020-09-25	0	c(114587.433745456, 113041.649783123, 5306935.87633135, 5283734.6521538)
3985	2020-09-25	0	c(119255.471718562, 117694.365282243, 5376540.54597604, 5353338.82331154)
4015	2020-09-25	0	c(99963.2070828654, 98572.3593178733, 4853650.83398523, 4830453.14906185)
4052	2020-09-25	0	c(115203.675393599, 99963.2070828654, 4864390.49350297, 4853650.83398523)
4017	2020-09-25	18404.632918601263	c(108419.41649447, 106996.912283531, 4992841.42191888, 4969642.4569698)
4053	2020-09-25	0	c(106996.912283531, 120624.749729197, 4969642.4569698, 4957183.18511253)
4054	2020-09-25	0	c(123365.657872767, 108419.41649447, 5003581.08585823, 4992841.42191888)
4018	2020-09-25	0	c(112718.117732966, 111280.038122865, 5062439.59870568, 5039239.99274089)
4054	2020-09-25	0	c(111280.038122865, 124743.641549152, 5039239.99274089, 5026780.42521857)
4055	2020-09-25	0	c(127514.57714767, 112718.117732966, 5073179.88211963, 5062439.59870568)
4019	2020-09-25	18161.76176612788	c(117063.203438781, 115609.719503381, 5132039.69912731, 5108839.45188712)
4055	2020-09-25	0	c(115609.719503381, 128907.492481945, 5108839.45188712, 5096379.9997011)
4056	2020-09-25	0	c(131708.126247435, 117063.203438781, 5142781.01312412, 5132039.69912731)
4020	2020-09-25	0	c(121454.156647474, 119985.44132989, 5201641.72334745, 5178440.83487994)
4056	2020-09-25	0	c(119985.44132989, 133115.807689002, 5178440.83487994, 5165981.90892349)
4052	2020-09-25	0	c(116551.306390173, 115203.675393599, 4887588.27790193, 4864390.49350297)
4090	2020-09-25	0	c(131693.114995305, 116551.306390173, 4898359.72538345, 4887588.27790193)
4053	2020-09-25	0	c(120624.749729197, 119261.861443961, 4957183.18511253, 4933984.62360368)
4090	2020-09-25	0	c(119261.861443961, 132996.943136238, 4933984.62360368, 4921557.75060068)
4054	2020-09-25	0	c(124743.641549152, 123365.657872767, 5026780.42521857, 5003581.08585823)
4055	2020-09-25	0	c(128907.492481945, 127514.57714767, 5096379.9997011, 5073179.88211963)
4056	2020-09-25	0	c(133115.807689002, 131708.126247435, 5165981.90892349, 5142781.01312412)
4090	2020-09-25	0	c(132996.943136238, 131693.114995305, 4921557.75060068, 4898359.72538345)
5647	2020-09-25	0	c(806557.567522237, 805436.84988934, 4999814.2569651, 5023013.81258744)
5648	2020-09-25	0	c(803183.211538379, 802050.320441729, 5069414.30241452, 5092615.23659416)
5647	2020-09-25	0	c(821375.535274895, 806557.567522237, 4988916.96437421, 4999814.2569651)
5647	2020-09-25	0	c(805436.84988934, 819029.694117167, 5023013.81258744, 5035315.99994568)
5648	2020-09-25	0	c(817850.386774078, 803183.211538379, 5058516.15104725, 5069414.30241452)
5677	2020-09-25	0	c(819029.694117167, 817850.386774078, 5035315.99994568, 5058516.15104725)
5648	2020-09-25	0	c(802050.320441729, 815479.076128725, 5092615.23659416, 5104917.71984738)
5678	2020-09-25	0	c(815479.076128725, 814287.104028042, 5104917.71984738, 5128119.1374647)
5678	2020-09-25	0	c(814287.104028042, 827606.472969342, 5128119.1374647, 5140453.46054754)
5708	2020-09-25	0	c(827606.472969342, 826354.878021528, 5140453.46054754, 5163655.23645599)
5647	2020-09-25	0	c(835023.773085712, 821375.535274895, 5001250.850715, 4988916.96437421)
5708	2020-09-25	0	c(826354.878021528, 839564.100268278, 5163655.23645599, 5176021.22506879)
5647	2020-09-25	0	c(833798.622419799, 835023.773085712, 5024450.32771843, 5001250.850715)
5677	2020-09-25	18335.323181179636	c(847339.01185509, 833798.622419799, 5036816.40704784, 5024450.32771843)
5735	2020-09-25	0	c(862160.242647624, 847339.01185509, 5026014.80086795, 5036816.40704784)
5708	2020-09-25	0	c(839564.100268278, 854081.497486028, 5176021.22506879, 5165217.41823687)
5735	2020-09-25	0	c(875648.116998997, 862160.242647624, 5038444.82356252, 5026014.80086795)
5792	2020-09-25	0	c(890521.690397177, 875648.116998997, 5027707.35554066, 5038444.82356252)
5708	2020-09-25	0	c(854081.497486028, 855439.849598103, 5165217.41823687, 5142016.23187729)
5736	2020-09-25	18161.937575605727	c(855439.849598103, 870060.324803528, 5142016.23187729, 5131245.23669869)
